"annee","etablissement","academie","domaine","discipline","situation","nombre_de_reponses","taux_de_reponse","poids_de_la_discipline","taux_dinsertion","emplois_cadre_ou_professions_intermediaires","emplois_stables","emplois_a_temps_plein","salaire_net_median_des_emplois_a_temps_plein","salaire_brut_annuel_estime","de_diplomes_boursiers","taux_de_chomage_regional","salaire_net_mensuel_median_regional","emplois_cadre","emplois_exterieurs_a_la_region_de_luniversite","femmes","salaire_net_mensuel_regional_1er_quartile","salaire_net_mensuel_regional_3eme_quartile"
2012,"Aix-Marseille","Aix-Marseille","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",256,74,18,"81","79","50","80","1590","24800",29,"11.7","1790","47","43","66","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Sciences fondamentales","30 mois après le diplôme",86,77,6,"91","99","79","96","2000","31200",29,"11.7","1790","76","33","43","1390","2170"
2012,"Amiens - Picardie Jules-Verne","Amiens","Lettres, langues, arts","Lettres, langues, arts","30 mois après le diplôme",32,62,10,"84","","","","","",32,"11.7","1790","","","90","1460","2080"
2012,"Angers","Nantes","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","30 mois après le diplôme",119,65,26,"79","62","71","89","1600","24900",38,"9","1710","24","85","84","1400","2010"
2012,"Angers","Nantes","Sciences humaines et sociales","Autres sciences humaines et sociales","30 mois après le diplôme",30,67,6,"90","","","","","",38,"9","1710","","","73","1400","2010"
2012,"Angers","Nantes","Sciences, technologies et santé","Sciences de la vie et de la terre","30 mois après le diplôme",51,73,10,"78","85","63","95","1700","26600",38,"9","1710","45","75","60","1400","2010"
2012,"Angers","Nantes","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",40,75,8,"85","97","88","100","2030","31700",38,"9","1710","70","78","22","1400","2010"
2012,"Angers","Nantes","Sciences, technologies et santé","Autres sciences, technologies et santé","30 mois après le diplôme",33,65,6,"100","97","79","100","","",38,"9","1710","60","66","78","1400","2010"
2012,"Avignon","Aix-Marseille","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",44,75,30,"89","76","54","76","","",34,"11.7","1790","42","82","75","1390","2170"
2012,"Avignon","Aix-Marseille","Sciences, technologies et santé","Sciences de la vie et de la terre","30 mois après le diplôme",32,71,24,"84","","","","","",34,"11.7","1790","","","56","1390","2170"
2012,"Besançon - Franche-Comté","Besançon","Sciences, technologies et santé","Autres sciences, technologies et santé","30 mois après le diplôme",75,87,20,"88","89","74","95","1790","27900",32,"9.6","1760","64","69","49","1420","2060"
2012,"Bordeaux","Bordeaux","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",351,76,41,"91","84","83","98","1970","30700",28,"10","1710","57","56","54","1360","2030"
2012,"Bordeaux","Bordeaux","Droit, économie et gestion","Droit","30 mois après le diplôme",82,74,10,"93","67","75","97","1800","28100",28,"10","1710","46","45","76","1360","2030"
2012,"Bordeaux","Bordeaux","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",433,80,48,"91","92","78","97","2000","31200",28,"10","1710","73","64","34","1360","2030"
2012,"Bordeaux","Bordeaux","Sciences, technologies et santé","Sciences de la vie et de la terre","30 mois après le diplôme",120,78,13,"86","86","60","92","1820","28400",28,"10","1710","63","69","60","1360","2030"
2012,"Brest - Bretagne occidentale","Rennes","Droit, économie et gestion","Droit","30 mois après le diplôme",41,72,12,"100","63","51","93","1500","23400",37,"9","1700","34","34","70","1380","2020"
2012,"Bretagne-Sud","Rennes","Droit, économie et gestion","Gestion","30 mois après le diplôme",41,77,17,"93","61","87","100","1750","27200",34,"9","1700","28","39","62","1380","2020"
2012,"Bretagne-Sud","Rennes","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",49,78,20,"82","70","55","85","1560","24300",34,"9","1700","37","43","83","1380","2020"
2012,"Bretagne-Sud","Rennes","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",104,78,42,"94","97","86","100","1970","30700",34,"9","1700","74","63","12","1380","2020"
2012,"Caen - Basse-Normandie","Caen","Droit, économie et gestion","Gestion","30 mois après le diplôme",156,74,31,"90","81","81","96","2000","31200",26,"9.3","1720","57","56","66","1400","2010"
2012,"Cergy-Pontoise","Versailles","Sciences humaines et sociales","Histoire-géographie","30 mois après le diplôme",50,72,14,"88","83","68","93","2060","32100",16,"9","2020","58","31","42","1580","2530"
2012,"Cergy-Pontoise","Versailles","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",101,65,29,"92","92","86","98","2170","33800",16,"9","2020","75","19","33","1580","2530"
2012,"Clermont-Ferrand 2 - Blaise Pascal","Clermont-Ferrand","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",86,82,27,"92","69","42","87","1510","23500",41,"8.9","1740","36","36","74","1400","2020"
2012,"Corse - Pasquale Paoli","Corse","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",37,72,36,"84","77","81","100","","",33,"11","1740","38","25","52","1340","2070"
2012,"Grenoble 1 - Joseph Fourier","Grenoble","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",45,72,14,"82","84","46","94","","",33,"8.9","1780","45","32","57","1430","2130"
2012,"Grenoble 1 - Joseph Fourier","Grenoble","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",117,77,35,"92","99","89","99","2150","33500",33,"8.9","1780","86","53","24","1430","2130"
2012,"Grenoble 1 - Joseph Fourier","Grenoble","Sciences, technologies et santé","Autres sciences, technologies et santé","30 mois après le diplôme",50,66,15,"92","85","70","91","1600","25000",33,"8.9","1780","58","37","50","1430","2130"
2011,"Besançon - Franche-Comté","Besançon","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",47,85,9,"98","100","87","100","2000","31200",33,"9.1","1750","87","61","8","",""
2011,"Bordeaux","Bordeaux","Sciences, technologies et santé","Sciences de la vie et de la terre","30 mois après le diplôme",135,82,11,"90","90","64","95","1800","28100",25,"9.6","1660","60","64","57","",""
2011,"Bordeaux","Bordeaux","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",163,82,14,"93","99","94","99","2060","32100",25,"9.6","1660","95","66","12","",""
2011,"Bordeaux - Montaigne","Bordeaux","Sciences humaines et sociales","Information communication","30 mois après le diplôme",68,75,23,"90","79","59","92","1730","26900",32,"9.6","1660","58","64","59","",""
2011,"Brest - Bretagne occidentale","Rennes","Lettres, langues, arts","Lettres, langues, arts","30 mois après le diplôme",62,80,10,"87","70","40","87","1490","23200",39,"8.5","1650","38","53","79","",""
2011,"Brest - Bretagne occidentale","Rennes","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",122,75,22,"87","94","75","96","2030","31700",39,"8.5","1650","74","56","36","",""
2011,"Brest - Bretagne occidentale","Rennes","Sciences, technologies et santé","Sciences de la vie et de la terre","30 mois après le diplôme",38,86,7,"82","87","58","97","","",39,"8.5","1650","61","58","61","",""
2011,"Bretagne-Sud","Rennes","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",100,89,34,"96","82","78","99","1800","28100",33,"8.5","1650","30","42","61","",""
2011,"Amiens - Picardie Jules-Verne","Amiens","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",131,69,26,"96","93","74","88","1700","26500",32,"11.5","1830","74","61","58","",""
2011,"Angers","Nantes","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","30 mois après le diplôme",120,64,22,"79","62","80","95","1600","25000",34,"8.5","1690","25","81","78","",""
2011,"Angers","Nantes","Sciences humaines et sociales","Autres sciences humaines et sociales","30 mois après le diplôme",41,71,7,"80","64","52","79","","",34,"8.5","1690","39","48","73","",""
2011,"Angers","Nantes","Masters enseignement","Masters enseignement : second degré, CPE...","30 mois après le diplôme",33,76,5,"100","94","84","91","","",34,"8.5","1690","85","39","70","",""
2011,"Artois","Lille","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","30 mois après le diplôme",48,78,8,"79","76","89","97","","",37,"12.8","1750","37","37","58","",""
2011,"Avignon","Aix-Marseille","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",46,75,26,"78","72","72","95","","",37,"11.2","1730","47","78","72","",""
2011,"Besançon - Franche-Comté","Besançon","Droit, économie et gestion","Gestion","30 mois après le diplôme",50,83,9,"92","83","83","100","1840","28700",33,"9.1","1750","30","40","64","",""
2012,"Montpellier","Montpellier","Sciences, technologies et santé","Sciences fondamentales","18 mois après le diplôme",49,79,5,"90","95","38","98","1700","26500",36,"14.3","1680","50","100","65","1310","2010"
2012,"Montpellier","Montpellier","Sciences, technologies et santé","Autres sciences, technologies et santé","18 mois après le diplôme",33,54,5,"97","","","","","",36,"14.3","1680","","100","42","1310","2010"
2012,"Aix-Marseille","Aix-Marseille","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","18 mois après le diplôme",33,87,3,"","","","","","",29,"11.7","1790","","","65","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",100,71,8,"83","68","45","80","1400","21800",29,"11.7","1790","41","53","85","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences humaines et sociales","Psychologie","18 mois après le diplôme",82,74,6,"77","86","40","58","1560","24400",29,"11.7","1790","74","32","81","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",65,79,5,"84","71","29","86","1450","22600",29,"11.7","1790","24","38","67","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",414,75,30,"82","91","60","94","1840","28700",29,"11.7","1790","68","43","47","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Sciences de la vie et de la terre","18 mois après le diplôme",129,74,9,"71","85","45","91","1760","27400",29,"11.7","1790","58","49","55","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Sciences fondamentales","18 mois après le diplôme",86,77,6,"84","93","62","95","1990","31100",29,"11.7","1790","63","33","43","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Sciences de l'ingénieur","18 mois après le diplôme",68,73,5,"84","93","71","98","2130","33300",29,"11.7","1790","79","53","41","1390","2170"
2012,"Aix-Marseille","Aix-Marseille","Sciences, technologies et santé","Autres sciences, technologies et santé","18 mois après le diplôme",93,73,7,"91","89","52","92","1680","26200",29,"11.7","1790","64","48","58","1390","2170"
2012,"Amiens - Picardie Jules-Verne","Amiens","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",92,56,33,"90","77","80","99","1840","28700",32,"11.7","1790","41","51","46","1460","2080"
2012,"Angers","Nantes","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","18 mois après le diplôme",119,65,26,"78","58","54","91","1500","23400",38,"9","1710","21","85","84","1400","2010"
2012,"Artois","Lille","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","18 mois après le diplôme",55,86,24,"82","76","61","98","1780","27800",38,"13","1780","34","27","32","1450","2080"
2012,"Avignon","Aix-Marseille","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",44,75,30,"79","","","","","",34,"11.7","1790","","82","75","1390","2170"
2012,"Avignon","Aix-Marseille","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",52,67,40,"82","97","76","98","1790","27800",34,"11.7","1790","60","56","42","1390","2170"
2012,"Besançon - Franche-Comté","Besançon","Droit, économie et gestion","Gestion","18 mois après le diplôme",57,79,16,"84","61","54","100","1500","23400",32,"9.6","1760","19","52","57","1420","2060"
2012,"Bordeaux","Bordeaux","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",351,76,41,"86","81","66","97","1830","28500",28,"10","1710","52","56","54","1360","2030"
2012,"Bordeaux","Bordeaux","Droit, économie et gestion","Économie","18 mois après le diplôme",80,76,9,"72","91","67","100","1970","30700",28,"10","1710","61","59","48","1360","2030"
2012,"Bordeaux","Bordeaux","Sciences humaines et sociales","Autres sciences humaines et sociales","18 mois après le diplôme",33,78,3,"79","","","","","",28,"10","1710","","","87","1360","2030"
2012,"Bordeaux","Bordeaux","Sciences, technologies et santé","Sciences fondamentales","18 mois après le diplôme",63,84,7,"87","94","61","96","1900","29600",28,"10","1710","79","69","37","1360","2030"
2012,"Bordeaux","Bordeaux","Sciences, technologies et santé","Autres sciences, technologies et santé","18 mois après le diplôme",54,79,6,"89","67","50","85","1510","23600",28,"10","1710","42","62","40","1360","2030"
2012,"Brest - Bretagne occidentale","Rennes","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",127,76,36,"89","64","51","91","1500","23400",37,"9","1700","28","40","66","1380","2020"
2012,"Brest - Bretagne occidentale","Rennes","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",42,81,11,"85","90","27","70","","",37,"9","1700","54","73","64","1380","2020"
2012,"Brest - Bretagne occidentale","Rennes","Sciences, technologies et santé","Ensemble sciences, technologies et santé","18 mois après le diplôme",116,80,31,"84","94","65","93","1950","30400",37,"9","1700","66","67","38","1380","2020"
2012,"Brest - Bretagne occidentale","Rennes","Sciences, technologies et santé","Sciences fondamentales","18 mois après le diplôme",38,72,10,"86","100","72","91","","",37,"9","1700","75","84","24","1380","2020"
2012,"Bretagne-Sud","Rennes","Droit, économie et gestion","Gestion","18 mois après le diplôme",41,77,17,"98","56","76","100","1580","24600",34,"9","1700","24","39","62","1380","2020"
2012,"Caen - Basse-Normandie","Caen","Sciences humaines et sociales","Psychologie","18 mois après le diplôme",34,79,7,"88","87","57","57","","",26,"9.3","1720","76","48","97","1400","2010"
2012,"Cergy-Pontoise","Versailles","Sciences, technologies et santé","Autres sciences, technologies et santé","18 mois après le diplôme",30,77,8,"88","","","","","",16,"9","2020","","","50","1580","2530"
2012,"Chambéry - Savoie","Grenoble","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",244,85,56,"88","58","62","93","1760","27400",33,"8.9","1780","30","46","66","1430","2130"
2012,"Chambéry - Savoie","Grenoble","Lettres, langues, arts","Lettres, langues, arts","18 mois après le diplôme",32,78,8,"","","","","","",33,"8.9","1780","","","75","1430","2130"
2012,"Clermont-Ferrand 2 - Blaise Pascal","Clermont-Ferrand","Sciences humaines et sociales","Ensemble sciences humaines et sociales","18 mois après le diplôme",86,82,27,"88","66","26","82","1410","22000",41,"8.9","1740","32","36","74","1400","2020"
2012,"Clermont-Ferrand 2 - Blaise Pascal","Clermont-Ferrand","Sciences, technologies et santé","Sciences de l'ingénieur","18 mois après le diplôme",42,68,14,"95","95","65","98","2090","32600",41,"8.9","1740","81","81","14","1400","2020"
2012,"Corse - Pasquale Paoli","Corse","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","18 mois après le diplôme",37,72,36,"86","68","65","100","","",33,"11","1740","22","25","52","1340","2070"
2010,"Grenoble 2 - Pierre Mendès France","Grenoble","Sciences humaines et sociales","Psychologie","30 mois après le diplôme",33,79,5,"94","94","58","90","","",28,"9.2","1750","","","","",""
2010,"Saint-Etienne - Jean Monnet","Lyon","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","30 mois après le diplôme",68,62,35,"94","91","70","95","1720","26800",33,"9.2","1750","","","","",""
2010,"Nantes","Nantes","Droit, économie et gestion","Économie","30 mois après le diplôme",32,83,4,"91","","","","","",31,"9","1680","","","","",""
2010,"Orléans","Orléans-Tours","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",65,67,21,"82","96","68","96","2000","31200",30,"9.7","1740","","","","",""
2010,"Angers","Nantes","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","30 mois après le diplôme",101,46,24,"90","65","69","95","1530","23800",33,"9","1680","","","","",""
2010,"Angers","Nantes","Sciences humaines et sociales","Autres sciences humaines et sociales","30 mois après le diplôme",33,63,6,"94","94","42","94","","",33,"9","1680","","","","",""
2010,"Angers","Nantes","Sciences, technologies et santé","Autres sciences, technologies et santé","30 mois après le diplôme",33,69,6,"94","97","77","100","","",33,"9","1680","","","","",""
2010,"Lorraine","Nancy-Metz","Droit, économie et gestion","Gestion","30 mois après le diplôme",265,70,28,"95","86","89","98","2000","31300",33,"10.7","1720","","","","",""
2010,"Lorraine","Nancy-Metz","Sciences humaines et sociales","Information communication","30 mois après le diplôme",39,81,4,"82","66","69","78","","",33,"10.7","1720","","","","",""
2010,"Bretagne-Sud","Rennes","Sciences humaines et sociales","Histoire-géographie","30 mois après le diplôme",47,96,17,"79","81","49","89","1560","24300",33,"9","1670","","","","",""
2010,"Bretagne-Sud","Rennes","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",59,84,25,"97","100","79","100","2060","32100",33,"9","1670","","","","",""
2010,"Valenciennes - Hainaut-Cambrésis","Lille","Droit, économie et gestion","Gestion","30 mois après le diplôme",96,78,31,"91","94","92","99","1960","30500",33,"14","1760","","","","",""
2010,"Valenciennes - Hainaut-Cambrésis","Lille","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",144,77,43,"96","89","85","93","1850","28900",33,"14","1760","","","","",""
2010,"Lille 1 - Sciences technologies","Lille","Droit, économie et gestion","Économie","30 mois après le diplôme",148,89,18,"93","90","83","96","2000","31200",28,"14","1760","","","","",""
2010,"Lille 1 - Sciences technologies","Lille","Droit, économie et gestion","Gestion","30 mois après le diplôme",325,84,40,"94","92","85","99","2000","31200",28,"14","1760","","","","",""
2010,"Lille 1 - Sciences technologies","Lille","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",55,85,7,"98","97","85","95","2030","31700",28,"14","1760","","","","",""
2010,"Lille 2 - Droit et santé","Lille","Droit, économie et gestion","Autres formations juridiques, économiques et de gestion","30 mois après le diplôme",45,85,9,"91","80","61","100","1700","26500",26,"14","1760","","","","",""
2010,"Lille 3 - Charles-de-Gaulle","Lille","Sciences humaines et sociales","Autres sciences humaines et sociales","30 mois après le diplôme",41,88,9,"95","66","49","82","1450","22600",38,"14","1760","","","","",""
2010,"Littoral - Côte d'Opale","Lille","Droit, économie et gestion","Gestion","30 mois après le diplôme",264,63,66,"91","76","85","99","1880","29300",20,"14","1760","","","","",""
2010,"Artois","Lille","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",31,92,13,"77","","","","","",42,"14","1760","","","","",""
2010,"Artois","Lille","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",60,77,31,"92","97","91","99","2050","32000",42,"14","1760","","","","",""
2010,"Artois","Lille","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",43,80,22,"91","97","95","100","2050","32000",42,"14","1760","","","","",""
2010,"Clermont-Ferrand 2 - Blaise Pascal","Clermont-Ferrand","Lettres, langues, arts","Lettres, langues, arts","30 mois après le diplôme",39,88,11,"79","","38","65","","",41,"9.3","1690","","","","",""
2010,"Clermont-Ferrand 2 - Blaise Pascal","Clermont-Ferrand","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",32,73,10,"94","","83","93","","",41,"9.3","1690","","","","",""
2010,"Pau - Pays de l'Adour","Bordeaux","Droit, économie et gestion","Droit","30 mois après le diplôme",51,93,15,"86","64","66","89","1500","23400",33,"10.2","1680","","","","",""
2010,"Pau - Pays de l'Adour","Bordeaux","Sciences, technologies et santé","Ensemble sciences, technologies et santé","30 mois après le diplôme",144,95,41,"84","89","76","95","1900","29600",33,"10.2","1680","","","","",""
2010,"Pau - Pays de l'Adour","Bordeaux","Sciences, technologies et santé","Sciences de la vie et de la terre","30 mois après le diplôme",33,97,9,"70","","","","","",33,"10.2","1680","","","","",""
2010,"Perpignan","Montpellier","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",71,54,53,"95","76","76","100","1850","28900",36,"14.3","1650","","","","",""
2010,"Strasbourg","Strasbourg","Droit, économie et gestion","Droit","30 mois après le diplôme",74,80,10,"93","86","80","97","2010","31300",23,"9.2","1740","","","","",""
2010,"Strasbourg","Strasbourg","Lettres, langues, arts","Lettres, langues, arts","30 mois après le diplôme",48,69,7,"92","69","82","81","","",23,"9.2","1740","","","","",""
2010,"Strasbourg","Strasbourg","Sciences, technologies et santé","Sciences fondamentales","30 mois après le diplôme",35,64,5,"88","","78","97","","",23,"9.2","1740","","","","",""
2010,"Strasbourg","Strasbourg","Sciences, technologies et santé","Sciences de l'ingénieur","30 mois après le diplôme",35,75,5,"97","100","68","97","","",23,"9.2","1740","","","","",""
2010,"Strasbourg","Strasbourg","Sciences, technologies et santé","Autres sciences, technologies et santé","30 mois après le diplôme",45,83,7,"91","92","80","98","1900","29600",23,"9.2","1740","","","","",""
2010,"Lyon 1 - Claude Bernard","Lyon","Sciences, technologies et santé","Informatique","30 mois après le diplôme",53,75,11,"100","100","94","100","2140","33400",20,"9.2","1750","","","","",""
2010,"Lyon 2 - Lumière","Lyon","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",217,68,36,"92","83","79","96","2000","31200",26,"9.2","1750","","","","",""
2010,"Lyon 2 - Lumière","Lyon","Droit, économie et gestion","Économie","30 mois après le diplôme",65,71,11,"94","88","75","97","1900","29600",26,"9.2","1750","","","","",""
2010,"Lyon 2 - Lumière","Lyon","Sciences humaines et sociales","Autres sciences humaines et sociales","30 mois après le diplôme",123,70,20,"86","81","43","84","1610","25100",26,"9.2","1750","","","","",""
2010,"Lyon 3 - Jean Moulin","Lyon","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",115,78,14,"82","98","57","99","1640","25600",20,"9.2","1750","","","","",""
2010,"Le Mans - Maine","Nantes","Sciences humaines et sociales","Ensemble sciences humaines et sociales","30 mois après le diplôme",44,91,22,"79","74","40","94","","",29,"9","1680","","","","",""
2010,"Le Mans - Maine","Nantes","Sciences humaines et sociales","Histoire-géographie","30 mois après le diplôme",44,91,22,"79","74","40","94","","",29,"9","1680","","","","",""
2010,"Chambéry - Savoie","Grenoble","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",210,92,48,"90","72","81","99","1970","30700",33,"9.2","1750","","","","",""
2010,"Paris 2 - Panthéon Assas","Paris","Droit, économie et gestion","Droit","30 mois après le diplôme",68,36,40,"94","94","86","97","2400","37400",12,"8.8","1990","","","","",""
2010,"Paris 2 - Panthéon Assas","Paris","Droit, économie et gestion","Gestion","30 mois après le diplôme",45,33,28,"96","100","81","98","2370","36900",12,"8.8","1990","","","","",""
2010,"Paris René Descartes","Paris","Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion","30 mois après le diplôme",77,62,24,"94","93","93","99","2500","39000",21,"8.8","1990","","","","",""
